EnsaioId;line;Conc Albumina;Conc Creatinina;Conc Ureia;Estadio;LED1_avg;LED2_avg;LED3_avg;LED4_avg;LED5_avg;LED6_avg
910;17;4,8;0,9;53;Estadio 1;2,66004;0,380158;2,65521;0,810963;2,66482;1,74994
910;17;4,8;0,9;53;Estadio 1;2,66012;0,379958;2,65524;0,810263;2,66493;1,749
910;17;4,8;0,9;53;Estadio 1;2,66016;0,37997;2,65527;0,810777;2,66492;1,75023
910;17;4,8;0,9;53;Estadio 1;2,66007;0,37996;2,65521;0,811293;2,66484;1,75037
910;17;4,8;0,9;53;Estadio 1;2,6601;0,379908;2,65526;0,810615;2,66483;1,75199
910;17;4,8;0,9;53;Estadio 1;2,65998;0,37992;2,65518;0,81107;2,66476;1,75035
910;17;4,8;0,9;53;Estadio 1;2,65997;0,37991;2,65515;0,811164;2,66478;1,74811
910;17;4,8;0,9;53;Estadio 1;2,65995;0,380045;2,65515;0,810805;2,66478;1,74788
910;17;4,8;0,9;53;Estadio 1;2,66002;0,379906;2,65524;0,810562;2,66485;1,74755
910;17;4,8;0,9;53;Estadio 1;2,6599;0,380076;2,65514;0,81129;2,66471;1,74674
912;20;4,1;0,85;23;Estadio 2;2,66005;0,379977;2,65527;0,810084;2,66485;1,76456
912;20;4,1;0,85;23;Estadio 2;2,65996;0,380017;2,65513;0,810456;2,66472;1,7686
912;20;4,1;0,85;23;Estadio 2;2,66005;0,379998;2,65515;0,810679;2,66482;1,76749
912;20;4,1;0,85;23;Estadio 2;2,66;0,379969;2,65517;0,810325;2,66479;1,76547
912;20;4,1;0,85;23;Estadio 2;2,65998;0,379996;2,65516;0,810578;2,66474;1,76601
912;20;4,1;0,85;23;Estadio 2;2,66001;0,379845;2,65522;0,810025;2,66479;1,76551
912;20;4,1;0,85;23;Estadio 2;2,6599;0,379989;2,65503;0,810433;2,66473;1,76554
912;20;4,1;0,85;23;Estadio 2;2,65995;0,379903;2,65516;0,810232;2,66471;1,76813
912;20;4,1;0,85;23;Estadio 2;2,65985;0,379963;2,65509;0,810025;2,66466;1,76925
912;20;4,1;0,85;23;Estadio 2;2,66001;0,379899;2,65515;0,810067;2,66478;1,77081
914;11;4,2;0,75;21;Estadio 1;2,66021;0,380204;2,65543;0,807716;2,66496;1,76873
914;11;4,2;0,75;21;Estadio 1;2,66014;0,380231;2,65539;0,808225;2,66489;1,76863
914;11;4,2;0,75;21;Estadio 1;2,66016;0,380202;2,65535;0,808688;2,66495;1,76847
914;11;4,2;0,75;21;Estadio 1;2,66012;0,380232;2,65534;0,808109;2,66486;1,76948
914;11;4,2;0,75;21;Estadio 1;2,66014;0,380195;2,65531;0,808306;2,66487;1,77039
914;11;4,2;0,75;21;Estadio 1;2,66016;0,380105;2,65528;0,808162;2,66484;1,77251
914;11;4,2;0,75;21;Estadio 1;2,66001;0,380197;2,65524;0,808352;2,66482;1,76995
914;11;4,2;0,75;21;Estadio 1;2,66002;0,380109;2,65529;0,808502;2,6648;1,77022
914;11;4,2;0,75;21;Estadio 1;2,66006;0,379959;2,65528;0,808068;2,66483;1,76976
914;11;4,2;0,75;21;Estadio 1;2,65998;0,380028;2,65519;0,808146;2,66482;1,7688
943;9;4,7;0,8;32;Estadio 0;2,66086;0,381802;2,65618;0,790578;2,66555;1,74223
943;9;4,7;0,8;32;Estadio 0;2,66088;0,381744;2,65619;0,791219;2,66561;1,7402
943;9;4,7;0,8;32;Estadio 0;2,66064;0,381837;2,65612;0,791554;2,66534;1,74904
943;9;4,7;0,8;32;Estadio 0;2,66038;0,382161;2,65569;0,791719;2,66503;1,75151
943;9;4,7;0,8;32;Estadio 0;2,66028;0,382179;2,65562;0,791129;2,66502;1,74551
943;9;4,7;0,8;32;Estadio 0;2,66035;0,382171;2,65563;0,791749;2,66506;1,74488
943;9;4,7;0,8;32;Estadio 0;2,66047;0,38209;2,65579;0,791764;2,66512;1,74321
943;9;4,7;0,8;32;Estadio 0;2,6603;0,382175;2,65556;0,791166;2,66495;1,74571
943;9;4,7;0,8;32;Estadio 0;2,66033;0,382088;2,65566;0,791757;2,66499;1,74762
943;9;4,7;0,8;32;Estadio 0;2,66028;0,382154;2,65557;0,791981;2,6649;1,74801
918;12;4,1;0,9;34;Estadio 1;2,66018;0,380327;2,65535;0,81139;2,66488;1,7786
918;12;4,1;0,9;34;Estadio 1;2,6601;0,380251;2,65535;0,810962;2,6649;1,77696
918;12;4,1;0,9;34;Estadio 1;2,66007;0,380264;2,65531;0,811456;2,66481;1,77902
918;12;4,1;0,9;34;Estadio 1;2,66005;0,380227;2,6552;0,811289;2,66479;1,78018
918;12;4,1;0,9;34;Estadio 1;2,66001;0,380209;2,65522;0,811473;2,66472;1,77831
918;12;4,1;0,9;34;Estadio 1;2,66009;0,380193;2,65531;0,81085;2,66478;1,7762
918;12;4,1;0,9;34;Estadio 1;2,65997;0,380204;2,65528;0,811312;2,66475;1,77382
918;12;4,1;0,9;34;Estadio 1;2,65994;0,38014;2,65519;0,811292;2,66477;1,77795
918;12;4,1;0,9;34;Estadio 1;2,65994;0,380212;2,65522;0,810946;2,6647;1,77963
918;12;4,1;0,9;34;Estadio 1;2,65985;0,380115;2,65517;0,811325;2,66468;1,78327
920;19;4,6;0,8;21;Estadio 2;2,66006;0,380673;2,65537;0,812629;2,66481;1,76659
920;19;4,6;0,8;21;Estadio 2;2,66002;0,38063;2,65533;0,81266;2,66481;1,76706
920;19;4,6;0,8;21;Estadio 2;2,66;0,380649;2,65534;0,812407;2,66481;1,76607
920;19;4,6;0,8;21;Estadio 2;2,65996;0,380668;2,65519;0,81255;2,66466;1,76523
920;19;4,6;0,8;21;Estadio 2;2,65995;0,380579;2,65519;0,81285;2,66469;1,76658
920;19;4,6;0,8;21;Estadio 2;2,65996;0,380649;2,65521;0,8129;2,66466;1,76885
920;19;4,6;0,8;21;Estadio 2;2,65993;0,38058;2,65523;0,812966;2,66471;1,7697
920;19;4,6;0,8;21;Estadio 2;2,65993;0,3806;2,65509;0,813148;2,66467;1,76181
920;19;4,6;0,8;21;Estadio 2;2,65996;0,380589;2,65511;0,813017;2,66466;1,76293
920;19;4,6;0,8;21;Estadio 2;2,65993;0,38055;2,65512;0,813053;2,66467;1,76692
949;8;4,8;0,8;34;Estadio 0;2,66095;0,381355;2,6563;0,794942;2,66555;1,73081
949;8;4,8;0,8;34;Estadio 0;2,66065;0,381544;2,65603;0,795224;2,6654;1,7314
949;8;4,8;0,8;34;Estadio 0;2,66037;0,38186;2,65579;0,795374;2,66509;1,72841
949;8;4,8;0,8;34;Estadio 0;2,66029;0,382079;2,65575;0,795367;2,66502;1,72917
949;8;4,8;0,8;34;Estadio 0;2,66027;0,381848;2,6557;0,795857;2,66499;1,73004
949;8;4,8;0,8;34;Estadio 0;2,66032;0,381858;2,65578;0,796233;2,66501;1,72789
949;8;4,8;0,8;34;Estadio 0;2,66028;0,38184;2,65568;0,79565;2,66501;1,73206
949;8;4,8;0,8;34;Estadio 0;2,6603;0,38187;2,65572;0,795314;2,66499;1,72361
949;8;4,8;0,8;34;Estadio 0;2,6603;0,381868;2,65569;0,794977;2,66498;1,72639
949;8;4,8;0,8;34;Estadio 0;2,66022;0,381893;2,65568;0,795734;2,66496;1,72287
924;18;4,7;0,7;54;Estadio 1;2,66025;0,380749;2,65545;0,809878;2,66494;1,74803
924;18;4,7;0,7;54;Estadio 1;2,66021;0,380605;2,65549;0,809954;2,66493;1,74758
924;18;4,7;0,7;54;Estadio 1;2,66017;0,380595;2,65552;0,809792;2,66495;1,74768
924;18;4,7;0,7;54;Estadio 1;2,66014;0,380648;2,65547;0,810249;2,66488;1,74814
924;18;4,7;0,7;54;Estadio 1;2,66019;0,380567;2,6554;0,809931;2,66491;1,74961
924;18;4,7;0,7;54;Estadio 1;2,66017;0,380628;2,65551;0,80981;2,66489;1,74855
924;18;4,7;0,7;54;Estadio 1;2,66016;0,380683;2,65545;0,809977;2,66486;1,7501
924;18;4,7;0,7;54;Estadio 1;2,66015;0,380568;2,65547;0,81009;2,66487;1,75128
924;18;4,7;0,7;54;Estadio 1;2,66009;0,380616;2,65539;0,810215;2,66481;1,74588
924;18;4,7;0,7;54;Estadio 1;2,66012;0,380614;2,65544;0,810388;2,66479;1,74546
953;7;4,6;0,7;51;Estadio 0;2,66066;0,382197;2,65611;0,796925;2,66537;1,71682
953;7;4,6;0,7;51;Estadio 0;2,66044;0,382303;2,65591;0,796659;2,66509;1,72252
953;7;4,6;0,7;51;Estadio 0;2,66055;0,382219;2,65595;0,797245;2,66519;1,724
953;7;4,6;0,7;51;Estadio 0;2,66052;0,38215;2,65594;0,796502;2,66522;1,71306
953;7;4,6;0,7;51;Estadio 0;2,66046;0,382255;2,6559;0,797585;2,66518;1,71499
953;7;4,6;0,7;51;Estadio 0;2,66047;0,382161;2,65595;0,797447;2,66522;1,71603
953;7;4,6;0,7;51;Estadio 0;2,6604;0,382196;2,65577;0,798348;2,66499;1,71911
953;7;4,6;0,7;51;Estadio 0;2,66045;0,382409;2,65584;0,798123;2,66507;1,71676
953;7;4,6;0,7;51;Estadio 0;2,66033;0,382581;2,65578;0,79778;2,665;1,71354
953;7;4,6;0,7;51;Estadio 0;2,66045;0,382468;2,6559;0,797682;2,66504;1,71026
928;10;4,8;0,71;19;Estadio 1;2,66029;0,381597;2,65564;0,798782;2,66492;1,73063
928;10;4,8;0,71;19;Estadio 1;2,66021;0,381639;2,65562;0,799013;2,66487;1,7308
928;10;4,8;0,71;19;Estadio 1;2,66024;0,381614;2,65558;0,79977;2,66496;1,73134
928;10;4,8;0,71;19;Estadio 1;2,66025;0,38159;2,65558;0,800092;2,66494;1,73195
928;10;4,8;0,71;19;Estadio 1;2,66027;0,381512;2,65554;0,800357;2,66492;1,73208
928;10;4,8;0,71;19;Estadio 1;2,66004;0,381518;2,65541;0,79996;2,66474;1,73213
928;10;4,8;0,71;19;Estadio 1;2,66008;0,381459;2,65546;0,800575;2,66484;1,73103
928;10;4,8;0,71;19;Estadio 1;2,66006;0,381455;2,65548;0,800461;2,66483;1,73181
928;10;4,8;0,71;19;Estadio 1;2,6601;0,381476;2,65539;0,799773;2,6648;1,73405
928;10;4,8;0,71;19;Estadio 1;2,66041;0,380925;2,65585;0,799835;2,66524;1,73489
930;16;4,6;0,95;21;Estadio 1;2,66021;0,381658;2,65559;0,798255;2,6649;1,77168
930;16;4,6;0,95;21;Estadio 1;2,66016;0,381598;2,65553;0,798201;2,66493;1,76967
930;16;4,6;0,95;21;Estadio 1;2,66015;0,381594;2,65552;0,798114;2,66483;1,77187
930;16;4,6;0,95;21;Estadio 1;2,66024;0,381481;2,65555;0,798142;2,66488;1,77248
930;16;4,6;0,95;21;Estadio 1;2,66012;0,381591;2,65551;0,798016;2,66482;1,76806
930;16;4,6;0,95;21;Estadio 1;2,66013;0,381473;2,65544;0,798137;2,66483;1,76531
930;16;4,6;0,95;21;Estadio 1;2,6601;0,381476;2,65542;0,79838;2,66482;1,76326
930;16;4,6;0,95;21;Estadio 1;2,66009;0,381464;2,65543;0,798091;2,6648;1,76133
930;16;4,6;0,95;21;Estadio 1;2,66003;0,381503;2,65546;0,798393;2,66479;1,76155
930;16;4,6;0,95;21;Estadio 1;2,66007;0,381473;2,65541;0,797846;2,66481;1,7607
932;21;4;1,2;36;Estadio 2;2,66016;0,381658;2,65546;0,79783;2,66482;1,75038
932;21;4;1,2;36;Estadio 2;2,66018;0,381497;2,65554;0,798396;2,66484;1,75081
932;21;4;1,2;36;Estadio 2;2,66016;0,381503;2,65551;0,798142;2,6649;1,7514
932;21;4;1,2;36;Estadio 2;2,66017;0,381502;2,65551;0,797583;2,6648;1,7511
932;21;4;1,2;36;Estadio 2;2,66009;0,381586;2,6555;0,797885;2,6648;1,75165
932;21;4;1,2;36;Estadio 2;2,66014;0,381552;2,65545;0,798412;2,66482;1,75082
932;21;4;1,2;36;Estadio 2;2,66007;0,381526;2,65545;0,798008;2,66475;1,74961
932;21;4;1,2;36;Estadio 2;2,66013;0,381531;2,65547;0,798539;2,66477;1,74942
